offset,latA,latB,label
0x0,-nan,0.0,1
0x80,-nan,0.0,1
0x100,-nan,0.0,1
0x180,-nan,0.0,1
0x200,-nan,0.0,1
0x280,-nan,0.0,1
0x300,-nan,0.0,1
0x380,-nan,0.0,1
0x400,-nan,0.0,1
0x480,-nan,0.0,1
0x500,-nan,0.0,1
0x580,-nan,0.0,1
0x600,-nan,0.0,1
0x680,-nan,0.0,1
0x700,-nan,0.0,1
0x780,-nan,0.0,1
0x800,-nan,0.0,1
0x880,-nan,0.0,1
0x900,-nan,0.0,1
0x980,-nan,0.0,1
0xa00,-nan,0.0,1
0xa80,-nan,0.0,1
0xb00,-nan,0.0,1
0xb80,-nan,0.0,1
0xc00,-nan,0.0,1
0xc80,-nan,0.0,1
0xd00,-nan,0.0,1
0xd80,-nan,0.0,1
0xe00,-nan,0.0,1
0xe80,-nan,0.0,1
0xf00,-nan,0.0,1
0xf80,-nan,0.0,1
0x1000,-nan,0.0,1
0x1080,-nan,0.0,1
0x1100,-nan,0.0,1
0x1180,-nan,0.0,1
0x1200,-nan,0.0,1
0x1280,-nan,0.0,1
0x1300,-nan,0.0,1
0x1380,-nan,0.0,1
0x1400,-nan,0.0,1
0x1480,-nan,0.0,1
0x1500,-nan,0.0,1
0x1580,-nan,0.0,1
0x1600,-nan,0.0,1
0x1680,-nan,0.0,1
0x1700,-nan,0.0,1
0x1780,-nan,0.0,1
0x1800,-nan,0.0,1
0x1880,-nan,0.0,1
0x1900,-nan,0.0,1
0x1980,-nan,0.0,1
0x1a00,-nan,0.0,1
0x1a80,-nan,0.0,1
0x1b00,-nan,0.0,1
0x1b80,-nan,0.0,1
0x1c00,-nan,0.0,1
0x1c80,-nan,0.0,1
0x1d00,-nan,0.0,1
0x1d80,-nan,0.0,1
0x1e00,-nan,0.0,1
0x1e80,-nan,0.0,1
0x1f00,-nan,0.0,1
0x1f80,-nan,0.0,1
0x2000,-nan,0.0,1
0x2080,-nan,0.0,1
0x2100,-nan,0.0,1
0x2180,-nan,0.0,1
0x2200,-nan,0.0,1
0x2280,-nan,0.0,1
0x2300,-nan,0.0,1
0x2380,-nan,0.0,1
0x2400,-nan,0.0,1
0x2480,-nan,0.0,1
0x2500,-nan,0.0,1
0x2580,-nan,0.0,1
0x2600,-nan,0.0,1
0x2680,-nan,0.0,1
0x2700,-nan,0.0,1
0x2780,-nan,0.0,1
0x2800,-nan,0.0,1
0x2880,-nan,0.0,1
0x2900,-nan,0.0,1
0x2980,-nan,0.0,1
0x2a00,-nan,0.0,1
0x2a80,-nan,0.0,1
0x2b00,-nan,0.0,1
0x2b80,-nan,0.0,1
0x2c00,-nan,0.0,1
0x2c80,-nan,0.0,1
0x2d00,-nan,0.0,1
0x2d80,-nan,0.0,1
0x2e00,-nan,0.0,1
0x2e80,-nan,0.0,1
0x2f00,-nan,0.0,1
0x2f80,-nan,0.0,1
0x3000,-nan,0.0,1
0x3080,-nan,0.0,1
